DEPARTMENT,TEAM,TARGETED_PRODUCTIVITY,SMV,WIP,OVER_TIME,INCENTIVE,IDLE_TIME,IDLE_MEN,NO_OF_STYLE_CHANGE,NO_OF_WORKERS,ACTUAL_PRODUCTIVITY
sweing,1,0.7,22.94,1472,10260,75,0,0,0,57.0,0.800643806
finishing,2,0.75,3.94,0,1440,0,0,0,0,8.0,0.578314394
sweing,2,0.75,22.94,1606,10260,94,0,0,0,57.0,0.90064806
finishing,3,0.75,3.94,0,1440,0,0,0,0,8.0,0.895454545
sweing,3,0.75,22.52,1266,10260,69,0,0,0,57.0,0.80035194
finishing,4,0.75,4.3,0,2160,0,0,0,0,12.0,0.651515152
sweing,4,0.75,22.52,727,10260,94,0,0,0,57.0,0.900321106
finishing,5,0.7,4.15,0,2700,0,0,0,0,15.0,0.966666667
sweing,5,0.7,20.4,1382,10440,50,0,0,0,58.0,0.700250784
sweing,6,0.8,11.61,1009,5640,63,0,0,0,32.0,0.800537143
finishing,7,0.65,3.94,0,2160,0,0,0,0,12.0,0.870580808
sweing,7,0.65,22.52,1295,10170,26,0,0,0,56.5,0.650416734
finishing,8,0.8,2.9,0,1620,0,0,0,0,9.0,0.910521886
finishing,9,0.6,3.94,0,1440,0,0,0,0,8.0,0.261174242
sweing,9,0.6,29.12,925,6660,23,0,0,0,58.0,0.600125217
finishing,10,0.75,3.94,0,1800,0,0,0,0,10.0,0.937242424
sweing,10,0.75,22.52,1332,10080,69,0,0,0,56.0,0.80062987
finishing,11,0.75,4.15,0,1800,0,0,0,0,10.0,0.896022727
sweing,11,0.75,42.97,1282,10260,56,0,0,0,57.0,0.750041201
finishing,12,0.7,4.08,0,1620,0,0,0,0,9.0,0.858585859
sweing,12,0.75,15.26,1316,6120,40,0,0,0,34.0,0.750079323
finishing,1,0.7,3.94,0,1440,0,0,0,0,8.0,0.970075758
sweing,1,0.7,22.94,1682,10530,75,0,0,0,58.5,0.800909609
finishing,2,0.75,3.94,0,1440,0,0,0,0,8.0,0.970075758
sweing,2,0.75,22.94,1636,10530,81,0,0,0,58.5,0.850223776
finishing,3,0.75,3.94,0,1620,0,0,0,0,9.0,0.961784512
sweing,3,0.75,22.52,1495,10350,55,0,0,0,57.5,0.800513307
finishing,4,0.75,4.3,0,2160,0,0,0,0,12.0,0.952020202
sweing,4,0.75,22.52,867,10260,94,0,0,0,57.0,0.900321106
finishing,5,0.7,4.15,0,3060,0,0,0,0,17.0,0.973796791
sweing,5,0.7,20.4,1217,10440,50,0,0,0,58.0,0.700250784
sweing,6,0.8,11.61,1181,5760,63,0,0,0,32.0,0.800386364
finishing,7,0.65,3.94,0,2520,0,0,0,0,14.0,0.749188312
sweing,7,0.7,22.52,360,10170,40,0,0,0,56.5,0.7005417
finishing,8,0.8,2.9,0,720,0,0,0,0,4.0,0.329545455
sweing,9,0.65,29.12,1086,10440,26,0,0,0,58.0,0.650407524
finishing,10,0.75,3.94,0,3420,0,0,0,0,19.0,0.955151515
sweing,10,0.75,22.52,1413,10080,69,0,0,0,56.0,0.800020563
sweing,11,0.75,42.97,532,10260,40,0,0,0,57.0,0.59114168
finishing,12,0.7,4.08,0,1620,0,0,0,0,9.0,0.618181818
sweing,12,0.7,15.26,1296,6120,40,0,0,0,34.0,0.70043672
finishing,1,0.7,3.94,0,1800,0,0,0,0,10.0,0.910378788
sweing,1,0.7,22.94,1745,10440,60,0,0,0,58.0,0.800023511
finishing,2,0.75,3.94,0,1800,0,0,0,0,10.0,0.910378788
sweing,2,0.75,22.94,1764,10260,55,0,0,0,57.0,0.800034024
finishing,3,0.75,3.94,0,1800,0,0,0,0,10.0,1.059621212
sweing,3,0.75,22.52,1584,10260,69,0,0,0,57.0,0.80035194
finishing,4,0.75,4.3,0,2160,0,0,0,0,12.0,0.963699495
sweing,4,0.8,22.52,1016,10170,60,0,0,0,56.5,0.850312684
finishing,5,0.7,4.15,0,2700,0,0,0,0,15.0,0.959191919
sweing,5,0.75,20.4,1118,10320,56,0,0,0,58.0,0.750031447
sweing,6,0.8,11.61,1072,5760,50,0,0,0,32.0,0.800386364
finishing,7,0.65,3.94,0,1440,0,0,0,0,8.0,0.646306818
sweing,8,0.6,15.09,1519,360,23,0,0,0,52.0,0.600143365
sweing,9,0.7,29.12,1143,10440,40,0,0,0,58.0,0.70061442
finishing,10,0.75,3.94,0,3780,0,0,0,0,21.0,0.997792208
sweing,10,0.75,22.52,1250,10080,55,0,0,0,56.0,0.800020563
finishing,12,0.7,4.08,0,1620,0,0,0,0,9.0,0.769292929
sweing,12,0.7,15.26,1337,6120,40,0,0,0,34.0,0.70043672
finishing,1,0.75,3.94,0,1200,0,0,0,0,10.0,0.77815
sweing,1,0.75,22.94,1871,6960,55,0,0,0,58.0,0.800263218
finishing,2,0.75,3.94,0,1200,0,0,0,0,10.0,0.788
sweing,2,0.75,22.52,1635,6840,119,0,0,0,57.0,1.000230409
finishing,3,0.75,3.94,0,1440,0,0,0,0,12.0,0.861875
sweing,3,0.75,22.52,1299,6840,119,0,0,0,57.0,1.000230409
finishing,4,0.8,4.3,0,1440,0,0,0,0,12.0,0.940625
sweing,4,0.8,22.52,1106,6780,60,0,0,0,56.5,0.850312684
finishing,6,0.8,2.9,0,960,0,0,0,0,8.0,0.6225
sweing,6,0.8,30.4,338,3840,34,0,0,0,32.0,0.622828125
finishing,8,0.65,3.94,0,960,0,0,0,0,8.0,0.845458333
sweing,8,0.65,15.09,976,240,23,0,0,0,52.0,0.650307143
sweing,9,0.7,29.12,1294,6960,50,0,0,0,58.0,0.700386207
finishing,10,0.8,3.94,0,1440,0,0,0,0,12.0,0.979527778
sweing,10,0.8,22.52,1134,6720,70,0,0,0,56.0,0.900129762
finishing,12,0.7,4.15,0,1080,0,0,0,0,9.0,0.823555556
sweing,12,0.7,15.26,1462,4080,40,0,0,0,34.0,0.700164706
finishing,1,0.75,3.94,0,1200,0,0,0,0,10.0,0.9456
sweing,1,0.75,22.94,1868,6960,81,0,0,0,58.0,0.850362069
finishing,2,0.8,3.94,0,1800,0,0,0,0,15.0,0.902222222
sweing,2,0.8,22.52,1559,6840,90,0,0,0,57.0,1.000230409
sweing,3,0.8,22.52,1350,6840,113,0,0,0,57.0,1.000230409
finishing,4,0.8,4.3,0,1440,0,0,0,0,12.0,0.722638889
sweing,4,0.8,22.52,1342,6780,50,0,0,0,56.5,0.800489676
sweing,5,0.6,20.79,1045,6960,88,0,0,0,58.0,0.800534483
finishing,7,0.6,3.94,0,960,0,0,0,0,8.0,0.406354167
sweing,7,0.6,23.54,958,6600,0,0,0,0,55.0,0.285333333
finishing,8,0.65,4.15,0,960,0,0,0,0,8.0,0.553333333
sweing,8,0.7,38.09,336,6240,0,0,0,0,52.0,0.467693269
sweing,9,0.7,29.12,1340,6960,63,0,0,0,58.0,0.750593103
finishing,10,0.8,3.94,0,1200,0,0,0,0,10.0,0.840533333
sweing,10,0.8,22.52,1175,6720,60,0,0,0,56.0,0.850532143
finishing,12,0.75,4.08,0,1080,0,0,0,0,9.0,0.755555556
sweing,12,0.75,15.26,1429,3600,45,0,0,0,35.0,0.750283333
finishing,1,0.75,3.94,0,1200,0,0,0,0,10.0,0.853666667
sweing,1,0.75,22.94,1579,6960,81,0,0,0,58.0,0.850362069
finishing,2,0.8,3.94,0,1200,0,0,0,0,10.0,0.773333333
sweing,2,0.8,22.52,1416,6840,113,0,0,0,57.0,1.000230409
finishing,3,0.8,3.94,0,960,0,0,0,0,8.0,0.4925
sweing,3,0.8,22.52,1287,6840,100,0,0,0,57.0,0.950185965
finishing,4,0.8,4.3,0,1200,0,0,0,0,10.0,0.989
sweing,4,0.8,22.52,1444,6900,88,0,0,0,57.5,0.9008
sweing,5,0.65,20.79,1015,7080,81,0,0,0,59.0,0.800473729
sweing,7,0.65,23.54,830,6600,0,0,0,0,55.0,0.48792
finishing,8,0.65,4.15,0,960,0,0,0,0,8.0,0.877552083
sweing,9,0.7,29.12,1170,6960,53,0,0,0,58.0,0.850170115
finishing,10,0.8,3.94,0,1200,0,0,0,0,10.0,0.85695
sweing,10,0.8,22.52,1088,6720,88,0,0,0,56.0,0.900129762
finishing,11,0.6,2.9,0,960,0,0,0,0,8.0,0.864583333
sweing,11,0.6,20.1,1601,4320,46,0,0,0,51.0,0.60059761
finishing,12,0.75,4.08,0,1080,0,0,0,0,9.0,0.634666667
sweing,12,0.75,15.26,1436,4200,45,0,0,0,35.0,0.750646667
finishing,1,0.75,3.94,0,1800,0,0,0,0,15.0,0.971866667
sweing,1,0.75,22.94,1502,6960,81,0,0,0,58.0,0.850362069
finishing,2,0.8,3.94,0,1200,0,0,0,0,10.0,0.971866667
sweing,2,0.8,22.52,1397,6840,113,0,0,0,57.0,1.000230409
finishing,3,0.8,3.94,0,960,0,0,0,0,8.0,0.971866667
sweing,3,0.8,22.52,1136,6960,113,0,0,0,58.0,1.000457471
finishing,4,0.8,3.94,0,1200,0,0,0,0,10.0,0.971866667
sweing,4,0.8,22.52,1432,6660,88,0,0,0,57.5,0.900537069
finishing,5,0.7,3.94,0,240,0,0,0,0,2.0,0.971866667
sweing,5,0.7,50.89,282,5880,56,0,0,0,59.0,0.656763743
finishing,6,0.6,3.94,0,1200,0,0,0,0,10.0,0.971866667
sweing,6,0.6,18.79,799,3960,23,0,0,0,33.0,0.600710606
finishing,7,0.7,3.94,0,1200,0,0,0,0,10.0,0.971866667
sweing,7,0.7,23.54,1109,6720,0,0,0,0,56.0,0.388830357
finishing,8,0.65,3.94,0,960,0,0,0,0,8.0,0.971866667
finishing,9,0.75,3.94,0,240,0,0,0,0,2.0,0.971866667
sweing,9,0.75,29.12,1082,6840,81,0,0,0,57.0,0.850610526
finishing,10,0.8,3.94,0,1200,0,0,0,0,10.0,0.971866667
sweing,10,0.8,22.52,1116,6720,93,0,0,0,56.0,0.920236905
finishing,11,0.65,3.94,0,600,0,0,0,0,5.0,0.971866667
sweing,11,0.65,20.1,1417,6480,49,0,0,0,54.0,0.650148148
finishing,12,0.75,4.08,0,1080,0,0,0,0,9.0,0.971866667
sweing,12,0.75,15.26,1209,4200,45,0,0,0,35.0,0.750646667
finishing,1,0.75,3.94,0,2280,0,0,0,0,19.0,0.950438596
sweing,1,0.8,22.94,1582,3060,113,0,0,0,58.5,1.000402055
finishing,2,0.8,3.94,0,1200,0,0,0,0,10.0,0.912766667
sweing,2,0.8,22.52,1396,6900,113,0,0,0,57.5,1.000671304
sweing,3,0.8,22.52,1124,6840,100,0,0,0,57.0,0.950185965
finishing,4,0.8,4.3,0,1440,0,0,0,0,12.0,0.845069444
sweing,4,0.8,22.52,1472,7020,60,0,0,0,58.5,0.85011396
finishing,6,0.6,2.9,0,1200,0,0,0,0,10.0,0.314166667
sweing,6,0.65,18.79,881,3960,26,0,0,0,33.0,0.651007071
finishing,7,0.7,3.94,0,2160,0,0,0,0,18.0,0.892194444
sweing,7,0.7,24.26,1400,6720,0,0,0,0,56.0,0.411553571
finishing,8,0.65,4.15,0,960,0,0,0,0,8.0,1.0115625
sweing,8,0.6,24.26,1196,6600,0,0,0,0,55.0,0.466821212
sweing,9,0.75,29.12,1282,6960,45,0,0,0,58.0,0.750593103
finishing,10,0.8,3.94,0,1200,0,0,0,0,10.0,0.8865
sweing,10,0.8,22.52,1282,6720,75,0,0,0,56.0,0.850532143
sweing,11,0.7,20.1,1192,6120,75,0,0,0,54.0,0.700508929
finishing,12,0.75,4.08,0,1080,0,0,0,0,9.0,0.702666667
sweing,12,0.75,15.26,1276,1440,45,0,0,0,35.0,0.750450658
finishing,1,0.75,3.94,0,2280,0,0,0,0,19.0,0.504596491
finishing,4,0.8,4.3,0,1440,0,0,0,0,12.0,0.809236111
finishing,6,0.6,2.9,0,1200,0,0,0,0,10.0,0.280333333
sweing,7,0.7,24.26,2698,6720,0,0,0,0,56.0,0.295307738
finishing,8,0.65,4.15,0,960,0,0,0,0,8.0,0.561979167
sweing,8,0.65,24.26,1435,6600,0,0,0,0,55.0,0.260978788
finishing,9,0.75,3.94,0,960,0,0,0,0,8.0,0.994270833
finishing,10,0.8,3.94,0,1200,0,0,0,0,10.0,0.85695
finishing,12,0.75,4.08,0,1080,0,0,0,0,9.0,0.740444444
finishing,1,0.8,3.94,0,1200,0,0,0,0,10.0,0.99485
sweing,1,0.8,22.52,1500,6900,113,0,0,0,57.5,1.000018551
finishing,2,0.8,3.94,0,2400,0,0,0,0,20.0,1.001416667
sweing,2,0.8,22.52,1452,6960,100,0,0,0,58.0,0.949981609
sweing,3,0.8,22.52,1112,6840,100,0,0,0,57.0,0.950185965
finishing,4,0.8,4.3,0,1440,0,0,0,0,12.0,0.5375
sweing,4,0.8,22.52,340,5460,63,0,0,0,56.5,0.800434622
sweing,5,0.6,30.1,415,6960,0,0,0,0,58.0,0.415172414
finishing,6,0.7,2.9,0,960,0,0,0,0,8.0,0.495416667
sweing,6,0.7,18.79,913,4020,30,0,0,0,33.5,0.700184577
sweing,7,0.7,24.26,1639,6720,0,0,0,0,56.0,0.541517857
finishing,8,0.7,4.15,0,960,0,0,0,0,8.0,0.976979167
sweing,8,0.7,24.26,1363,6660,0,0,0,0,55.5,0.586465465
finishing,9,0.75,3.94,0,1320,0,0,0,0,11.0,0.919954545
sweing,9,0.75,29.12,1070,6960,34,0,0,0,58.0,0.750593103
sweing,10,0.8,22.52,1188,6720,90,0,0,0,56.0,0.999995238
sweing,11,0.7,25.31,946,5760,60,0,0,0,54.0,0.700513566
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,0.778222222
sweing,12,0.8,15.26,1029,2040,50,0,0,0,35.0,0.800259023
finishing,1,0.8,3.94,0,1200,0,0,0,0,10.0,0.929183333
sweing,1,0.8,22.52,1532,6900,88,0,0,0,57.5,0.900147246
finishing,2,0.8,3.94,0,2160,0,0,0,0,18.0,0.966759259
sweing,2,0.8,22.52,1263,6900,100,0,0,0,57.5,1.05028058
sweing,3,0.8,22.52,968,6840,113,0,0,0,57.0,1.000230409
sweing,5,0.65,30.1,326,5820,0,90,10,0,58.5,0.650834808
finishing,6,0.7,2.9,0,960,0,0,0,0,8.0,0.531666667
sweing,6,0.7,18.79,941,3360,30,0,0,0,33.0,0.700710417
finishing,7,0.7,3.94,0,960,0,0,0,0,8.0,0.779791667
sweing,7,0.7,24.26,1471,6960,0,0,0,0,58.0,0.700612069
finishing,8,0.7,4.15,0,3000,0,0,0,0,25.0,0.915766667
sweing,8,0.7,29.12,1248,6840,0,0,0,0,57.0,0.700135088
finishing,9,0.75,3.94,0,960,0,0,0,0,8.0,0.755166667
sweing,9,0.8,22.52,1086,6960,50,0,0,0,58.0,0.799963218
sweing,10,0.8,22.52,1108,6720,113,0,0,0,56.0,0.999995238
sweing,11,0.7,10.05,1042,6120,60,0,0,0,53.0,0.700278846
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,0.687555556
sweing,12,0.8,15.26,1094,4080,38,0,0,0,34.0,0.800401961
finishing,1,0.8,3.94,0,1440,0,0,0,0,12.0,0.845458333
sweing,1,0.8,22.52,1485,6900,113,0,0,0,57.5,1.000018551
finishing,2,0.8,3.94,0,2640,0,0,0,0,22.0,0.999924242
sweing,2,0.8,22.52,1300,6780,113,0,0,0,56.5,1.000446018
sweing,3,0.8,22.52,1063,6840,100,0,0,0,57.0,0.950185965
sweing,5,0.7,30.1,557,6960,0,0,0,0,58.0,0.562212644
finishing,6,0.7,2.9,0,960,0,0,0,0,8.0,0.9425
sweing,6,0.7,18.79,766,2760,30,0,0,0,33.0,0.700079032
finishing,7,0.7,3.94,0,1200,0,0,0,0,10.0,0.8471
sweing,8,0.7,24.26,1167,6840,0,0,0,0,57.0,0.496549708
sweing,9,0.8,29.12,1069,6960,50,0,0,0,58.0,0.799963218
finishing,10,0.8,3.94,0,960,0,0,0,0,8.0,0.771583333
sweing,10,0.8,22.52,1039,6720,113,0,0,0,56.0,0.999995238
sweing,11,0.75,10.05,668,2520,34,0,0,0,26.0,0.7504
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,0.906666667
sweing,12,0.8,15.26,1083,720,38,0,0,0,34.0,0.800612676
finishing,1,0.8,3.94,0,1200,0,0,0,0,10.0,0.870083333
sweing,1,0.8,22.52,1534,6780,88,0,0,0,57.0,0.900135693
finishing,2,0.8,3.94,0,3000,0,0,0,0,25.0,1.050666667
sweing,2,0.8,22.52,1186,6900,113,0,0,0,58.0,1.000018551
sweing,3,0.8,22.52,1060,6840,100,0,0,0,57.0,0.950185965
finishing,4,0.8,4.3,0,960,0,0,0,0,8.0,0.447916667
sweing,4,0.6,30.1,486,6780,30,0,0,1,57.0,0.600224189
sweing,5,0.7,30.1,687,7500,0,0,0,0,59.0,0.545657673
finishing,6,0.75,2.9,0,960,0,0,0,0,8.0,0.845833333
sweing,6,0.75,18.79,813,1560,34,0,0,0,33.0,0.750520115
finishing,7,0.7,3.94,0,1200,0,0,0,0,10.0,0.715766667
sweing,7,0.7,24.26,658,6960,0,270,45,0,58.0,0.662270115
sweing,8,0.7,24.26,652,6840,0,300,37,0,57.0,0.365318713
finishing,9,0.8,3.94,0,960,0,0,0,0,8.0,0.771583333
sweing,9,0.8,29.12,829,6960,50,0,0,0,58.0,0.799963218
sweing,10,0.8,22.52,1142,6720,88,0,0,0,56.0,0.900129762
sweing,11,0.75,10.05,677,3240,45,0,0,0,27.0,0.750027778
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,0.899111111
sweing,12,0.8,15.26,1021,4080,63,0,0,0,34.0,0.800401961
finishing,1,0.8,3.94,0,1200,0,0,0,0,10.0,0.893066667
sweing,1,0.8,22.52,1615,6780,88,0,0,0,56.5,0.900135693
finishing,2,0.8,3.94,0,2160,0,0,0,0,18.0,0.875555556
sweing,2,0.8,22.52,1233,6900,113,0,0,0,57.5,1.000018551
sweing,3,0.8,22.52,1283,6720,88,0,0,0,56.0,0.900129762
sweing,4,0.65,30.1,712,6780,44,0,0,1,56.5,0.568259587
sweing,5,0.7,30.1,754,7020,0,0,0,0,58.5,0.700618234
finishing,6,0.75,2.9,0,960,0,0,0,0,8.0,0.610208333
sweing,6,0.75,18.79,670,3960,34,0,0,0,33.0,0.75065101
finishing,7,0.7,4.15,0,1440,0,0,0,0,12.0,0.928680556
sweing,7,0.7,24.26,148,6960,0,0,0,0,58.0,0.355534483
finishing,8,0.7,4.15,0,1800,0,0,0,0,15.0,0.840888889
sweing,8,0.7,24.26,154,6840,0,0,0,0,57.0,0.353259649
finishing,9,0.8,3.94,0,960,0,0,0,0,8.0,0.607416667
sweing,9,0.8,29.12,909,6960,50,0,0,0,58.0,0.799963218
sweing,10,0.8,22.52,1388,6720,88,0,0,0,56.0,0.9008
sweing,11,0.75,10.05,629,3240,45,0,0,0,27.0,0.750027778
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,0.891555556
sweing,12,0.8,15.26,1026,2880,63,0,0,0,34.0,0.800355208
finishing,1,0.8,3.94,0,1200,0,0,0,0,10.0,0.962016667
sweing,1,0.8,22.52,1506,3600,70,0,0,0,57.0,0.900509044
finishing,2,0.8,3.94,0,2160,0,0,0,0,18.0,1.057962963
sweing,2,0.8,22.52,1413,360,70,0,0,0,57.0,0.900477825
sweing,3,0.8,22.52,1271,5400,50,0,0,0,57.0,0.800161172
sweing,4,0.7,30.1,767,3300,50,0,0,1,57.0,0.790003236
sweing,5,0.7,30.1,773,7020,40,0,0,0,58.0,0.700618234
finishing,6,0.75,2.9,0,960,0,0,0,0,8.0,0.888125
sweing,6,0.75,18.79,708,4080,0,0,0,0,34.0,0.612517157
finishing,9,0.8,3.94,0,960,0,0,0,0,8.0,0.697708333
sweing,9,0.8,29.12,1073,6960,50,0,0,0,58.0,0.799963218
sweing,10,0.8,22.52,1127,120,88,0,0,0,56.0,0.9008
sweing,11,0.75,10.05,103,0,45,0,0,0,54.0,0.750648148
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,0.272
sweing,12,0.8,15.26,970,4080,63,0,0,0,34.0,0.800401961
finishing,1,0.8,3.94,0,1440,0,0,0,0,12.0,0.853666667
sweing,1,0.8,22.52,1546,0,88,0,0,0,57.0,0.90047076
finishing,2,0.8,3.94,0,2160,0,0,0,0,18.0,0.966759259
sweing,2,0.8,22.52,1512,0,88,0,0,0,57.0,0.899984058
sweing,3,0.8,22.52,813,0,88,0,0,0,57.0,0.90047076
finishing,4,0.7,4.15,0,1800,0,0,0,0,15.0,0.796755556
sweing,4,0.7,30.1,855,7020,40,0,0,1,58.0,0.700618234
sweing,5,0.75,30.1,855,7020,45,0,0,0,58.0,0.750356125
finishing,6,0.75,2.9,0,960,0,0,0,0,8.0,0.628333333
sweing,6,0.75,18.79,640,2400,0,0,0,0,34.0,0.750797009
finishing,9,0.8,3.94,0,960,0,0,0,0,8.0,0.6895
sweing,9,0.8,29.12,1263,2160,38,0,0,0,58.0,0.8008
sweing,10,0.8,22.52,1268,0,88,0,0,0,56.0,0.90063244
sweing,11,0.8,10.05,13,3240,34,0,0,0,54.0,0.750648148
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,1.004888889
sweing,12,0.8,15.26,900,4080,50,0,0,0,34.0,0.800401961
finishing,1,0.8,3.94,0,1440,0,0,0,0,12.0,0.618361111
sweing,1,0.8,22.52,1498,0,113,0,0,0,57.0,1.000065789
finishing,2,0.8,3.94,0,2160,0,0,0,0,18.0,0.912037037
sweing,2,0.8,22.52,1557,0,90,0,0,0,57.5,1.000344928
sweing,3,0.8,22.52,11,6840,0,0,0,1,57.0,0.536901754
finishing,4,0.7,4.15,0,1800,0,0,0,0,15.0,1.033155556
sweing,4,0.7,30.1,667,5940,40,0,0,1,59.5,0.700588406
finishing,5,0.7,4.15,0,240,0,0,0,0,2.0,0.87
sweing,5,0.75,30.1,788,7380,56,0,0,0,59.5,0.750406233
sweing,6,0.8,18.79,656,3480,38,0,0,0,34.0,0.800947475
sweing,7,0.6,30.1,829,3360,23,0,0,1,58.0,0.600070513
sweing,8,0.6,30.1,1069,4560,30,0,0,1,58.0,0.714410494
finishing,9,0.8,3.94,0,960,0,0,0,0,8.0,0.54175
sweing,9,0.8,29.12,609,3240,50,0,0,0,58.0,0.800144144
sweing,10,0.8,22.52,598,0,75,0,0,0,56.0,0.850364583
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,1.02
sweing,12,0.8,15.26,854,4080,50,0,0,0,34.0,0.800401961
finishing,1,0.8,3.94,0,1440,0,0,0,0,12.0,0.664875
finishing,2,0.8,3.94,0,2160,0,0,0,0,18.0,0.601944444
sweing,2,0.8,22.52,1327,0,113,0,0,0,57.5,1.000344928
finishing,4,0.7,4.15,0,1800,0,0,0,0,15.0,1.096633333
sweing,4,0.7,30.1,419,7080,0,0,0,1,59.0,0.637711864
finishing,5,0.7,4.15,0,240,0,0,0,0,2.0,0.58
sweing,5,0.75,30.1,610,7080,56,0,0,0,59.0,0.750799435
sweing,6,0.8,18.79,779,3960,0,0,0,0,33.0,0.688017677
sweing,7,0.65,30.1,909,7080,0,0,0,1,59.0,0.535677966
sweing,8,0.65,30.1,1193,7080,0,0,0,1,59.0,0.463403955
finishing,9,0.8,3.94,0,960,0,0,0,0,8.0,0.656666667
sweing,9,0.8,29.12,14,6960,0,0,0,0,58.0,0.497885057
sweing,10,0.8,22.52,10,6000,0,0,0,0,50.0,0.441392
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,0.838666667
sweing,12,0.8,15.26,894,4080,50,0,0,0,34.0,0.800401961
finishing,1,0.8,3.94,0,1440,0,0,0,0,12.0,0.796208333
sweing,1,0.8,22.52,1416,6840,113,0,0,0,57.0,1.000230409
sweing,2,0.8,22.52,674,3660,63,0,0,0,57.0,0.80037492
finishing,4,0.75,4.15,0,2400,0,0,0,0,20.0,0.902916667
sweing,4,0.75,30.1,481,7140,0,0,0,1,59.0,0.750392157
sweing,5,0.75,30.1,664,7140,56,0,0,0,59.0,0.750392157
finishing,6,0.8,2.9,0,960,0,0,0,0,8.0,0.483333333
sweing,6,0.8,18.79,822,4080,0,0,0,0,34.0,0.557252451
finishing,7,0.7,4.15,0,1800,0,0,0,0,15.0,0.929277778
sweing,7,0.7,30.1,957,7200,0,0,0,1,60.0,0.602
finishing,8,0.7,4.15,0,960,0,0,0,0,8.0,0.725625
sweing,8,0.7,30.1,824,5160,0,0,0,1,60.0,0.700206125
finishing,9,0.8,3.94,0,960,0,0,0,0,8.0,0.238041667
sweing,11,0.6,11.41,1039,2280,23,0,0,2,55.0,0.600447507
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,0.800888889
sweing,12,0.8,15.26,942,4080,63,0,0,0,34.0,0.800401961
finishing,1,0.8,3.94,0,960,0,0,0,0,8.0,1.1204375
sweing,1,0.8,22.52,1420,6840,113,0,0,0,57.0,1.000230409
finishing,2,0.8,3.94,0,960,0,0,0,0,8.0,1.108125
sweing,2,0.8,22.52,12,6900,0,0,0,0,57.5,0.432122899
sweing,3,0.6,30.1,1361,6960,30,0,0,1,58.0,0.475718391
finishing,4,0.75,4.15,0,2400,0,0,0,0,20.0,0.287041667
sweing,4,0.75,30.1,919,7140,0,0,0,1,59.5,0.598627451
finishing,5,0.75,4.15,0,240,0,0,0,0,2.0,0.760833333
sweing,5,0.8,30.1,679,7140,0,0,0,0,59.5,0.722568627
finishing,6,0.8,2.9,0,960,0,0,0,0,8.0,0.604166667
sweing,6,0.75,18.79,814,4080,0,0,0,0,34.0,0.681598039
sweing,7,0.7,30.1,881,7080,0,0,0,1,59.0,0.700632768
finishing,8,0.7,4.15,0,960,0,0,0,0,8.0,0.605208333
sweing,8,0.7,30.1,507,5880,40,2,10,1,59.0,0.700573099
finishing,11,0.6,2.9,0,1200,0,0,0,0,10.0,0.715333333
sweing,11,0.65,11.41,700,2640,23,0,0,2,53.0,0.650223718
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,0.876444444
sweing,12,0.8,15.26,1120,1440,50,0,0,0,34.0,0.800806306
sweing,1,0.8,22.52,1422,6840,113,0,0,0,57.0,1.000230409
sweing,3,0.65,30.1,1263,600,63,0,0,1,58.0,0.802243319
finishing,4,0.75,4.15,0,1800,0,0,0,0,15.0,0.722333333
sweing,4,0.75,30.1,912,7020,0,0,0,1,58.0,0.750356125
finishing,5,0.75,4.15,0,1200,0,0,0,0,10.0,0.629416667
sweing,5,0.8,30.1,461,0,0,0,0,0,59.0,0.800980392
finishing,6,0.8,2.9,0,960,0,0,0,0,8.0,0.773333333
sweing,6,0.75,18.79,895,3960,0,0,0,0,33.0,0.75065101
finishing,7,0.7,4.15,0,1800,0,0,0,0,15.0,0.258
sweing,7,0.7,30.1,784,600,30,0,0,1,59.0,0.700459889
sweing,8,0.7,30.1,7,7080,27,2,10,2,59.0,0.621971751
finishing,9,0.8,3.94,0,1200,0,0,0,0,10.0,0.960433333
sweing,9,0.6,18.79,2103,5400,0,0,0,1,54.0,0.329964879
sweing,10,0.6,18.22,1131,5280,0,0,0,1,44.0,0.35542803
sweing,11,0.7,11.41,680,2160,30,0,0,2,54.0,0.565972222
finishing,12,0.8,4.08,0,1080,0,0,0,0,9.0,0.891555556
sweing,12,0.8,15.26,1079,3720,38,0,0,0,34.0,0.800312375
sweing,1,0.8,22.52,1445,6840,113,0,0,0,57.0,1.000230409
finishing,2,0.8,5.13,0,1800,0,0,0,0,15.0,0.5814
sweing,3,0.7,30.1,1422,6960,50,0,0,1,58.0,0.700603448
finishing,4,0.75,5.13,0,960,0,0,0,0,8.0,0.656666667
sweing,4,0.75,30.1,849,7020,45,0,0,1,58.0,0.750356125
sweing,5,0.8,30.1,680,7140,0,0,0,0,59.0,0.653431373
finishing,6,0.8,2.9,0,960,0,0,0,0,8.0,0.749166667
